review_text,label,label_text,ground_truth,predicted_sentiment,latency_seconds,consistency_run_labels,raw_model_outputs
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7673649787902832,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
begins like a docu-drama but builds its multi-character story with a flourish .,4,very positive,VERY POSITIVE,NEUTRAL,0.6974501609802246,NEUTRAL | NEUTRAL | POSITIVE,"[NEUTRAL]

--- RUN ---

[NEUTRAL]

--- RUN ---

[POSITIVE]"
"the best comedy concert movie i 've seen since cho 's previous concert comedy film , i 'm the one that i want , in 2000 .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.836280345916748,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
ruh-roh !,2,neutral,NEUTRAL,VERY NEGATIVE,0.6550807952880859,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
"by the end of the movie , you 're definitely convinced that these women are spectacular .",3,positive,POSITIVE,VERY POSITIVE,0.7105329036712646,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]"
"in all the annals of the movies , few films have been this odd , inexplicable and unpleasant .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7221662998199463,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
"ms. seigner and mr. serrault bring fresh , unforced naturalism to their characters .",4,very positive,VERY POSITIVE,POSITIVE,0.7095603942871094,POSITIVE | POSITIVE | POSITIVE,"[POSITIVE]

--- RUN ---

[POSITIVE]

--- RUN ---

[POSITIVE]"
"it 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6974990367889404,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .",2,neutral,NEUTRAL,VERY NEGATIVE,0.7488155364990234,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",1,negative,NEGATIVE,NEGATIVE,0.7782309055328369,NEGATIVE | VERY NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[NEGATIVE]"
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",3,positive,POSITIVE,VERY POSITIVE,0.6867780685424805,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"it 's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7074117660522461,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
i could n't recommend this film more .,3,positive,POSITIVE,VERY POSITIVE,0.6472861766815186,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7882261276245117,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",1,negative,NEGATIVE,VERY NEGATIVE,0.6989650726318359,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
and it 's a lousy one at that .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.674187421798706,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
leigh makes these lives count .,3,positive,POSITIVE,VERY POSITIVE,0.6528651714324951,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
compellingly watchable .,4,very positive,VERY POSITIVE,POSITIVE,0.6210002899169922,POSITIVE | POSITIVE | POSITIVE,"[POSITIVE]

--- RUN ---

[POSITIVE]

--- RUN ---

[POSITIVE]"
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7041442394256592,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
"many shallower movies these days seem too long , but this one is egregiously short .",2,neutral,NEUTRAL,VERY NEGATIVE,0.7184138298034668,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
most of the storylines feel like time fillers between surf shots .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6597297191619873,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",3,positive,POSITIVE,VERY POSITIVE,0.7275903224945068,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
there 's no disguising this as one of the worst films of the summer .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6823890209197998,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
"with an obvious rapport with her actors and a striking style behind the camera , hélène angel is definitely a director to watch .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7419188022613525,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
a cockeyed shot all the way .,1,negative,NEGATIVE,VERY POSITIVE,0.6384847164154053,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
it 's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.76601243019104,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
highly uneven and inconsistent ... margarita happy hour kinda resembles the el cheapo margaritas served within .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7041749954223633,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
final verdict : you 've seen it all before .,0,very negative,VERY NEGATIVE,NEGATIVE,0.6335294246673584,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
the master of disguise is awful .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.6432845592498779,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,4,very positive,VERY POSITIVE,VERY POSITIVE,0.7633981704711914,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
there 's not one decent performance from the cast and not one clever line of dialogue .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.69394850730896,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
stay away .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7210483551025391,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
"the plot has a number of holes , and at times it 's simply baffling .",1,negative,NEGATIVE,NEGATIVE,0.6720364093780518,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"an inexperienced director , mehta has much to learn .",1,negative,NEGATIVE,NEGATIVE,0.6226320266723633,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"not only does spider-man deliver , but i suspect it might deliver again and again .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.6756768226623535,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"not only does leblanc make one spectacularly ugly-looking broad , but he appears miserable throughout as he swaggers through his scenes .",1,negative,NEGATIVE,VERY NEGATIVE,0.7218165397644043,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
"the biggest problem with roger avary 's uproar against the mpaa is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.8156812191009521,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
contrived pastiche of caper clichés .,1,negative,NEGATIVE,NEGATIVE,0.6639373302459717,VERY NEGATIVE | NEGATIVE | NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",0,very negative,VERY NEGATIVE,NEGATIVE,0.6782054901123047,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"you end up simply admiring this bit or that , this performance or that .",2,neutral,NEUTRAL,VERY POSITIVE,0.684067964553833,VERY POSITIVE | NEUTRAL | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[NEUTRAL]

--- RUN ---

[VERY_POSITIVE]"
"the effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7052936553955078,NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7469127178192139,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing .,2,neutral,NEUTRAL,VERY POSITIVE,0.7891976833343506,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"it 's a square , sentimental drama that satisfies , as comfort food often can .",3,positive,POSITIVE,POSITIVE,0.753225564956665,NEUTRAL | POSITIVE | VERY POSITIVE,"[NEUTRAL]

--- RUN ---

[POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"it 's refreshing that someone understands the need for the bad boy ; diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.8007142543792725,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY POSITIVE]"
a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.8853042125701904,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
but the movie that does n't really deliver for country music fans or for family audiences,0,very negative,VERY NEGATIVE,NEGATIVE,0.706751823425293,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.7491099834442139,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands .,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7412669658660889,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
warmed-over hash .,2,neutral,NEUTRAL,VERY NEGATIVE,0.6643128395080566,VERY NEGATIVE | VERY NEGATIVE | NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[NEGATIVE]"
a flawed but engrossing thriller .,3,positive,POSITIVE,POSITIVE,0.6203455924987793,POSITIVE | POSITIVE | POSITIVE,"[POSITIVE]

--- RUN ---

[POSITIVE]

--- RUN ---

[POSITIVE]"
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",3,positive,POSITIVE,VERY POSITIVE,0.7277727127075195,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,3,positive,POSITIVE,VERY POSITIVE,0.7109372615814209,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",2,neutral,NEUTRAL,VERY NEGATIVE,0.842090368270874,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
"it may not be history -- but then again , what if it is ?",2,neutral,NEUTRAL,VERY POSITIVE,0.7287144660949707,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",3,positive,POSITIVE,VERY POSITIVE,0.7959065437316895,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]"
"may be more genial than ingenious , but it gets the job done .",3,positive,POSITIVE,POSITIVE,0.653221607208252,POSITIVE | NEUTRAL | POSITIVE,"[POSITIVE]

--- RUN ---

[NEUTRAL]

--- RUN ---

[POSITIVE]"
"bacon keeps things interesting , but do n't go out of your way to pay full price .",2,neutral,NEUTRAL,VERY POSITIVE,0.7207915782928467,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"a ` girls gone wild ' video for the boho art-house crowd , the burning sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7873754501342773,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
this is an interesting movie ! '',4,very positive,VERY POSITIVE,VERY POSITIVE,0.6492350101470947,VERY POSITIVE | VERY POSITIVE | POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[POSITIVE]"
give credit to everyone from robinson down to the key grip that this bold move works .,4,very positive,VERY POSITIVE,VERY POSITIVE,0.7409615516662598,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
` opening up ' the play more has partly closed it down .,1,negative,NEGATIVE,NEGATIVE,0.6627712249755859,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
"this movie , a certain scene in particular , brought me uncomfortably close to losing my lunch .",0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7826037406921387,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
takes a simple premise and carries it to unexpected heights .,4,very positive,VERY POSITIVE,VERY POSITIVE,0.7098937034606934,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY_POSITIVE]"
"high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",1,negative,NEGATIVE,VERY NEGATIVE,0.8360915184020996,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",3,positive,POSITIVE,VERY POSITIVE,0.7312991619110107,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]"
a mean-spirited film made by someone who surely read the catcher in the rye but clearly suffers from dyslexia,0,very negative,VERY NEGATIVE,VERY NEGATIVE,0.7688968181610107,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY NEGATIVE]"
i have to admit that i am baffled by jason x.,1,negative,NEGATIVE,VERY NEGATIVE,0.7333199977874756,VERY NEGATIVE | VERY NEGATIVE | NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[NEGATIVE]"
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",4,very positive,VERY POSITIVE,VERY POSITIVE,0.8011665344238281,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]

--- RUN ---

[VERY POSITIVE]"
the movie is so thoughtlessly assembled .,3,positive,POSITIVE,NEGATIVE,0.6481139659881592,NEGATIVE | NEGATIVE | NEGATIVE,"[NEGATIVE]

--- RUN ---

[NEGATIVE]

--- RUN ---

[NEGATIVE]"
the most anti-human big studio picture since 3000 miles to graceland .,2,neutral,NEUTRAL,VERY NEGATIVE,0.6799829006195068,VERY NEGATIVE | VERY NEGATIVE | VERY NEGATIVE,"[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]

--- RUN ---

[VERY_NEGATIVE]"
more good than great but freeman and judd make it work .,3,positive,POSITIVE,POSITIVE,0.6708893775939941,POSITIVE | POSITIVE | POSITIVE,"[POSITIVE]

--- RUN ---

[POSITIVE]

--- RUN ---

[POSITIVE]"
australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .,4,very positive,VERY POSITIVE,VERY POSITIVE,0.786445140838623,VERY POSITIVE | VERY POSITIVE | VERY POSITIVE,"[VERY POSITIVE]

--- RUN ---

[VERY_POSITIVE]

--- RUN ---

[VERY POSITIVE]"
